上刀山下火海	shang dao shan xia huo hai
上天入地	shang tian ru di
上天无路入地无门	shang tian wu lu ru di wu men
上当受骗	shang dang shou pian
上有天堂下有苏杭	shang you tian tang xia you su hang
上有政策下有对策	shang you zheng ce xia you dui ce
上有老下有小	shang you lao xia you xiao
上梁不正下梁歪	shang liang bu zheng xia liang wai
上气不接下气	shang qi bu jie xia qi
上行下效	shang xing xia xiao
上贼船	shang zei chuan
不三不四	bu san bu si
不为左右袒	bu wei zuo you tan
不以为然	bu yi wei ran
不以人废言	bu yi ren fei yan
不以规矩不能成方圆	bu yi gui ju bu neng cheng fang yuan
不以词害志	bu yi ci hai zhi
不以辞害志	bu yi ci hai zhi
不依不饶	bu yi bu rao
不修边幅	bu xiu bian fu
不值一文	bu zhi yi wen
不值一驳	bu zhi yi bo
不假思索	bu jia si suo
不偏不倚	bu pian bu yi
不偷不抢	bu tou bu qiang
不入虎穴焉得虎子	bu ru hu xue yan de hu zi
不共戴天	bu gong dai tian
不分伯仲	bu fen bo zhong
不分彼此	bu fen bi ci
不分皂白	bu fen zao bai
不分胜负	bu fen sheng fu
不分青红皂白	bu fen qing hong zao bai
不到火候不揭锅	bu dao huo hou bu jie guo
不到黄河心不死	bu dao huang he xin bu si
不动声色	bu dong sheng se
不劳而获	bu lao er huo
不卑不亢	bu bei bu kang
不厌其烦	bu yan qi fan
不可一世	bu ke yi shi
不可同日而语	bu ke tong ri er yu
不可告人	bu ke gao ren
不可思议	bu ke si yi
不可抗拒	bu ke kang ju
不可收拾	bu ke shou shi
不可枚举	bu ke mei ju
不可理喻	bu ke li yu
不可端倪	bu ke duan ni
不可胜言	bu ke sheng yan
不可言喻	bu ke yan yu
不可避免	bu ke bi mian
不同凡响	bu tong fan xiang
不吐不快	bu tu bu kuai
不吝珠玉	bu lin zhu yu
不听老人言吃亏在眼前	bu ting lao ren yan chi kui zai yan qian
不啻天渊	bu chi tian yuan
不堪一击	bu kan yi ji
不堪入耳	bu kan ru er
不声不响	bu sheng bu xiang
不孚众望	bu fu zhong wang
不学无术	bu xue wu shu
不安其室	bu an qi shi
不容小觑	bu rong xiao qu
不寒而栗	bu han er li
不屑一顾	bu xie yi gu
不当家不知柴米贵	bu dang jia bu zhi chai mi gui
不忮不求	bu zhi bu qiu
不念旧恶	bu nian jiu e
不怀好意	bu huai hao yi
不怒而威	bu nu er wei
不怕贼偷就怕贼惦记	bu pa zei tou jiu pa zei dian ji
不急之务	bu ji zhi wu
不恤人言	bu xu ren yan
不患寡而患不均	bu huan gua er huan bu jun
不悱不发	bu fei bu fa
不情之请	bu qing zhi qing
不愤不启	bu fen bu qi
不愧下学	bu kui xia xue
不愧不怍	bu kui bu zuo
不慌不忙	bu huang bu mang
不成体统	bu cheng ti tong
